,Fitness,Iteration,Mutation Rate,Population Size,State,Time,max_iters
0,0.0,0,0.3,300,"[0, 1]",0.006133200004114769,4096
1,2.0,1,0.3,300,"[0, 0]",0.03004170001077,4096
2,2.0,2,0.3,300,"[0, 0]",0.06406910000077914,4096
3,2.0,4,0.3,300,"[0, 0]",0.12152280000736937,4096
4,2.0,8,0.3,300,"[0, 0]",0.25516320001042914,4096
5,2.0,16,0.3,300,"[0, 0]",0.4624507000116864,4096
6,2.0,32,0.3,300,"[0, 0]",0.8381171000073664,4096
7,2.0,64,0.3,300,"[0, 0]",1.9769544000009773,4096
8,2.0,128,0.3,300,"[0, 0]",3.673277000008966,4096
9,2.0,256,0.3,300,"[0, 0]",7.664216900011525,4096
10,2.0,512,0.3,300,"[0, 0]",14.43264640000416,4096
11,2.0,1024,0.3,300,"[0, 0]",27.982475400000112,4096
12,2.0,2048,0.3,300,"[0, 0]",27.982475400000112,4096
13,2.0,4096,0.3,300,"[0, 0]",27.982475400000112,4096
